Review,Rating,Cleaned_Review,VADER_Compound,VADER_Positive,VADER_Negative,VADER_Neutral
,1/10,,0.0,0.0,0.0,0.0
"I just wasted two hours of my life on this pile of garbage that is the new Snow White. This movie sucks so bad it's almost impressive-like, how do you even fail this hard at a story everyone already knows? The acting was wooden enough to build a log cabin, the dialogue sounded like it was written by a toddler with a thesaurus, and the CGI looked like a cheap video game from 2003. They butchered every ounce of charm from the original tale and replaced it with a cringe-fest of forced messages and zero chemistry between the characters. The dwarves? More like dwarfed by the sheer incompetence of this production. Save your money, save your time, save your soul-skip this abomination.",,wasted two hours life pile garbage new snow white movie sucks bad almost even fail hard story everyone already knows acting wooden enough build log cabin dialogue sounded like written toddler thesaurus cgi looked like cheap video game butchered every ounce charm original tale replaced forced messages zero chemistry characters dwarves like dwarfed sheer incompetence production save money save time save abomination,0.3054,0.248,0.223,0.528
"Before going into this film, there was so much hate. Oh my gosh It was unbelievable, but I finally watched the movie in the cinemas and I must admit this film is way better than I expected. Rachel zegler does a phenomenal job as snow white and I think all the new songs are really great. She has a fantastic singing voice in my opinion. I love order new addition scenes. And I really do feel like they expanded and developed a world better than I could have ever imagined it to do.

The cinematography individuals were absolutely stunning. In my opinion, oh my gosh, the colours, the vibrancy delighting it all looks amazing, dude.

I like some of the new characters. They are more less supporting characters. They don't do a whole lot but they do their jobs supporting snow whites. I also do feel like galgado's does a great job at the which people hated her for some reason, saying her acting with stiff. Yeah, she has 1 or 2 awkward moments. But overall, it's more less faithful to the original smell white, which now the only problem I have. With the movie is 2 aspects, the 7 dwarfs. I do think that divisional presentation is faithful, but I do feel a bit mixed on the whole idea of using cgi. Instead of actually hiring little people to play The Doors, I know there's a whole backlash of controversy over that involving peat to think it's buts, it is what it is. I also feel like the ending was very anti. Climactic, it just sort of ended. I expected a big battle in the final act of the first original film in 1937. It was quite dark with the 7 dwalls doing what they did. But in this original new movie, the ending while it's really good And it's very fine. I do feel like I would have loved a bit more of a dramatic climax in my opinion, but it is what it is overall. I had a great time with a movie. I know people. I'm not going to like my review for this but I enjoyed it. I like what I like. I know there's controversy surrounding it to, but, Hey, at the end of the day had a good time at the theatres and that's all that matches for me. 8, possibly, in my opinion, controversial take third best remake. In my opinion, the first best is The Jungle Book tweny 16. The second best is Cinderella, the third best. If the snow white movie and the 4 best is Aladdin, 2019. Yep, controversial take. But it is what it is go check the movie out. I highly recommend it. You will love it.",8/10,going film much hate oh gosh unbelievable finally watched movie cinemas must admit film way better expected rachel zegler phenomenal job snow white think new songs really great fantastic singing voice opinion love order new addition scenes really feel like expanded developed world better could ever imagined cinematography individuals absolutely stunning opinion oh gosh colours vibrancy delighting looks amazing dude like new characters less supporting characters whole lot jobs supporting snow whites also feel like galgado great job people hated reason saying acting stiff yeah awkward moments overall less faithful original smell white problem movie aspects dwarfs think divisional presentation faithful feel bit mixed whole idea using cgi instead actually hiring little people play doors know whole backlash controversy involving peat think buts also feel like ending anti climactic sort ended expected big battle final act first original film quite dark dwalls original new movie ending really good fine feel like would loved bit dramatic climax opinion overall great time movie know people going like review enjoyed like like know controversy surrounding hey end day good time theatres matches possibly opinion controversial take third best remake opinion first best jungle book tweny second best cinderella third best snow white movie best aladdin yep controversial take go check movie highly recommend love,0.9986,0.415,0.067,0.518
"For all the questionable controversies that the Internet created about this film long before it came out, with the only justifiable one being the more than understandable tiredness of the Disney live action remakes, now that I've seen it I say: what a bunch of fuss for nothing. Yes, there's not much here that deserves acclaim and there are clear problems, although none of them involve the controversies of the Internet, but in the end there is absolutely nothing here that deserves hate or controversy. Out of the Disney remakes so far this is nowhere near being one of the worst, in fact I'd say it's actually one of the best, even though it's not a very close competition in this club. It's a weird case because there's a lot to like here, but unfortunately there are many problems in the mix that prevent it from reaching its full potential, with two of them in particular that are quite substantial. The first is Gal Gadot who unfortunately is very bad in the film and just doesn't match with the rest of the cast, even with her beautiful looks. And the second is the extremely hideous design of the dwarves, which really gets in the way of some of the good scenes with them and I could never get used to it. The rest are just adjustments and improvements that I think would have polished the story better, given it more development and room to marinate properly. But fortunately, what saves the experience from all of this is that even if it never reaches perfection, the changes and messages made in this reimagining are still very interesting, and the main star manages to carry the film on her shoulders.

Rachel Zegler is truly wonderful here, you can see that she gave her body and soul to this role and she is the definition of a true Disney princess in the flesh, with the voice of an angel and charisma exploding on screen. She is probably the best Disney Princess of these new live action versions, not only because of the actress's work itself but because I liked everything they did to reimagine Snow White, a character I never loved. Instead of keeping the character archaic like in the original animated feature, or just changing everything about her, they managed to create an arc for her that maintains all the best qualities and essence of the character from the 1937 film, but still updating her for today. She sees herself as a helpless maiden who is incapable of solving things on her own, but through the course of the story she learns that she is more than capable of being brave and strong just as she is. She can help in a fight without knowing how to fight, she can fall in love with someone and still have her own agency, and she can very well achieve what she wants even though she's just someone who wants to be a good person and not step on others to do so, like the Evil Queen does. Not only do I think this is a great idea that keeps the character true to her origins with a modern twist, but it also sends a very smart and sweet message, especially to young girls who so far seem to be the audience that are enjoying the film the most, and for good reason.

Otherwise, I found the production to be mostly very solid and well cared for. The cinematography is full of vibrant colors which is refreshing compared to the many grey filled remakes we got, very detailed sets and surprisingly excellent CGI work. The kingdom itself is the only area that doesn't impress much, it just looks like another medieval kingdom with nothing that stands out, unlike the forests or the dwarves' house for example. The dwarves themselves, despite their terrible design, have some good moments as characters, especially with what they do to Dopey and the musical number ""Whistle While You Work"" which is the best moment of the film. The songs from the original were updated appropriately I would say, so that they could fit in with the new songs and have their own identity without clashing with their classic melodies. As for the new songs, I really liked ""Waiting on a Wish"" and ""A Hand Meets a Hand"", and the musical number along with the melodies of ""All is Fair"" is pretty cool but Gal Gadot's singing unfortunately gets in the way. The rest is serviceable and has some cute moments of choreography or character interaction, but nothing too memorable beyond those I mentioned. And finally, I liked the change made to the prince, who here is a very different character and Andrew Burnap is charming in the role, but the group of bandits that accompanies him have little to do and could have easily been removed from the film.

In the end, despite my fears going into it, I enjoyed this new version of ""Snow White"", even if there is a lot in it that holds it back from being truly special. It's the kind of film that I want to give a higher score for the things I really liked about it, from the good messages to the excellent work of Zegler or the beautiful visuals. But it's undeniable that it is a turbulent experience with a lot of ups and downs. If you can forgive its missteps enough, there's plenty in here that I think is worth checking out, but I can understand those who could not get past them and end up not liking it. But considering the very low expectations I had, the fact that I got some positive and memorable stuff out of it already makes me quite happy, because there are valuable qualities in it that I really appreciated. I can totally see an audience for it that will really enjoy the experience, and despite having many reservations to make, I will certainly be more on the positive side. At least this remake tries to create something fresh without sacrificing everything from the original with some success, and even though it's not free from some of the old issues that all these remakes suffer from, it still manages to have more merits than many of them. I'll happily take more of this then another ""Lion King (2019)"" thank you very much.",6/10,questionable controversies internet created film long came justifiable one understandable tiredness disney live action remakes seen say bunch fuss nothing yes much deserves acclaim clear problems although none involve controversies internet end absolutely nothing deserves hate controversy disney remakes far nowhere near one worst fact say actually one best even though close competition club weird case lot like unfortunately many problems mix prevent reaching full potential two particular quite substantial first gal gadot unfortunately bad film match rest cast even beautiful looks second extremely hideous design dwarves really gets way good scenes could never get used rest adjustments improvements think would polished story better given development room marinate properly fortunately saves experience even never reaches perfection changes messages made reimagining still interesting main star manages carry film shoulders rachel zegler truly wonderful see gave body soul role definition true disney princess flesh voice angel charisma exploding screen probably best disney princess new live action versions actress work liked everything reimagine snow white character never loved instead keeping character archaic like original animated feature changing everything managed create arc maintains best qualities essence character film still updating today sees helpless maiden incapable solving things course story learns capable brave strong help fight without knowing fight fall love someone still agency well achieve wants even though someone wants good person step others like evil queen think great idea keeps character true origins modern twist also sends smart sweet message especially young girls far seem audience enjoying film good reason otherwise found production mostly solid well cared cinematography full vibrant colors refreshing compared many grey filled remakes got detailed sets surprisingly excellent cgi work kingdom area impress much looks like another medieval kingdom nothing stands unlike forests dwarves house example dwarves despite terrible design good moments characters especially dopey musical number whistle work best moment film songs original updated appropriately would say could fit new songs identity without clashing classic melodies new songs really liked waiting wish hand meets hand musical number along melodies fair pretty cool gal gadot singing unfortunately gets way rest serviceable cute moments choreography character interaction nothing memorable beyond mentioned finally liked change made prince different character andrew burnap charming role group bandits accompanies little could easily removed film end despite fears going enjoyed new version snow white even lot holds back truly special kind film want give higher score things really liked good messages excellent work zegler beautiful visuals undeniable turbulent experience lot ups downs forgive missteps enough plenty think worth checking understand could get past end liking considering low expectations fact got positive memorable stuff already makes quite happy valuable qualities really appreciated totally see audience really enjoy experience despite many reservations make certainly positive side least remake tries create something fresh without sacrificing everything original success even though free old issues remakes suffer still manages merits many happily take another lion king thank much,0.9996,0.385,0.078,0.537
"Rachel Ziegler and her acting type were truly miscast in this role, or the notes she was given were truly abhorred. At no time could I see my children liking her portrayal and personally, comparing to the original, it felt the entire tone of her performance was a miss.

As Ziegler doesn't seem able to envoke any form of sympathy from crowds it seems, maybe she'd be better suited sticking to supporting roles or another genre if fairytales aren't within her range.

There are always risks when deviating from the source material but honestly it just seemed like a better point of focus would have made a world of difference and perhaps some of the changes would have been welcomed with a more palatable lead to feed them to us.

Movies are usually a safe bet for our family but not this one, kids left tired but not in the good way :(",1/10,rachel ziegler acting type truly miscast role notes given truly abhorred time could see children liking portrayal personally comparing original felt entire tone performance miss ziegler seem able envoke form sympathy crowds seems maybe better suited sticking supporting roles another genre fairytales within range always risks deviating source material honestly seemed like better point focus would made world difference perhaps changes would welcomed palatable lead feed us movies usually safe bet family one kids left tired good way,0.9783,0.354,0.092,0.554
"The new Snow White remake left me utterly unmoved and emotionally detached throughout. Instead of being swept up in the story, I found myself drifting back to childhood memories of watching the original, which only highlighted how lackluster this version feels in comparison. Even the iconic moment when the queen transforms into the sinister old witch-once a terrifying highlight that haunted me as a kid-fell flat. Far from frightening, she almost seemed endearing this time around. It's a disappointing rehash that fails to capture the magic or menace of its predecessor. I will never watch this movie again while I watched the original atleast 20-30 times in my life.",1/10,new snow white remake left utterly unmoved emotionally detached throughout instead swept story found drifting back childhood memories watching original highlighted lackluster version feels comparison even iconic moment queen transforms sinister old terrifying highlight haunted flat far frightening almost seemed endearing time around disappointing rehash fails capture magic menace predecessor never watch movie watched original atleast times life,-0.9575,0.089,0.315,0.596
"This live action remake of Snow White is nothing like the original Snow White movie, they put a bunch of new songs in there that sucked and they even changed most of the lyrics to the original songs. The plot was different in many ways and there is no prince Florian, just a bandit named Jonathan. Both actresses were terrible in this movie and I even like Gal Gadot but it was a very poor casting decision. It felt like the movie unnecessarily dragged on halfway through and the ending was awful. I was so bored and just waiting for it to end. I had low expectations going into the movie and it was worse than that.",1/10,live action remake snow white nothing like original snow white movie put bunch new songs sucked even changed lyrics original songs plot different many ways prince florian bandit named jonathan actresses terrible movie even like gal gadot poor casting decision felt like movie unnecessarily dragged halfway ending awful bored waiting end low expectations going movie worse,-0.9775,0.0,0.419,0.581
"This remake of the cherished classic is, without a doubt, one of the most disappointing adaptations we've encountered in recent times. While the original tale of Snow White is a beloved story, endearing to both children and adults alike, this version seems heavily skewed towards an adult audience, but not in a favorable manner. It appears to be aimed at adults who harbor a desire to denigrate the original narrative rather than honor it. The essence of the original story, which captivated audiences with its charm and moral lessons, is utterly lost in this iteration. Disney, a studio renowned for crafting magical and timeless tales, seems to have missed the mark significantly with this production. The decision to produce such a film appears baffling, as it lacks the enchantment and whimsy that fans of the original would expect. Instead of evoking nostalgia and admiration, it leaves a sour taste, standing as an affront to the legacy of Snow White. The characters are poorly developed, the plot lacks coherence, and the visual aesthetics fail to capture the ethereal beauty synonymous with its predecessor. Overall, this rendition seems less like a homage and more like a misguided attempt that strays far from what made the original a masterpiece. It's a shame that Disney, with its vast resources and creative expertise, would choose to release a movie that feels more like a parody than a respectful reimagining of such a treasured story.",1/10,remake cherished classic without doubt one disappointing adaptations encountered recent times original tale snow white beloved story endearing children adults alike version seems heavily skewed towards adult audience favorable manner appears aimed adults harbor desire denigrate original narrative rather honor essence original story captivated audiences charm moral lessons utterly lost iteration disney studio renowned crafting magical timeless tales seems missed mark significantly production decision produce film appears baffling lacks enchantment whimsy fans original would expect instead evoking nostalgia admiration leaves sour taste standing affront legacy snow white characters poorly developed plot lacks coherence visual aesthetics fail capture ethereal beauty synonymous predecessor overall rendition seems less like homage like misguided attempt strays far made original masterpiece shame disney vast resources creative expertise would choose release movie feels like parody respectful reimagining treasured story,0.9937,0.357,0.063,0.58
"Costume Design Inconsistencies:

A notable example is the character Jonathan's attire, which includes a modern jean jacket and hoodie. This choice clashes with the film's intended fantasy setting, leading to a disjointed visual experience.

Visual Effects and Character Representation:

The depiction of the seven dwarfs through CGI has been a point of contention. The animated dwarfs resemble lawn gnomes, which some viewers found awkward and lacking the charm of the original characters.

Narrative and Tonal Issues:

The film introduces complex new subplots but struggles to maintain a consistent tone. This results in a narrative that feels disjointed and fails to engage the audience effectively.

Character Portrayals:

Gal Gadot's portrayal of the Evil Queen has been criticized for lacking menace, with her performance oscillating between menacing and campy, leading to an inconsistent character depiction.

Controversial Modern Updates:

The film's attempt to modernize the classic tale, including changes to traditional elements and themes, has sparked debates among audiences. Some appreciate the effort to update the story, while others feel it deviates too far from the beloved original.",1/10,costume design inconsistencies notable example character jonathan attire includes modern jean jacket hoodie choice clashes film intended fantasy setting leading disjointed visual experience visual effects character representation depiction seven dwarfs cgi point contention animated dwarfs resemble lawn gnomes viewers found awkward lacking charm original characters narrative tonal issues film introduces complex new subplots struggles maintain consistent tone results narrative feels disjointed fails engage audience effectively character portrayals gal gadot portrayal evil queen criticized lacking menace performance oscillating menacing campy leading inconsistent character depiction controversial modern updates film attempt modernize classic tale including changes traditional elements themes sparked debates among audiences appreciate effort update story others feel deviates far beloved original,-0.5859,0.137,0.172,0.691
"If you want to preserve the cherished memories of your childhood, I strongly advise against watching this movie. Some stories are best left untouched, remaining as beautiful, nostalgic moments in our minds. However, this film takes those beloved memories and distorts them into something unrecognizable. If you grew up loving the original tale, this adaptation may leave you feeling disappointed, disheartened, or even frustrated.

Furthermore, if you have children and are considering taking them to see this movie, you may want to think twice. Children are especially sensitive to visuals, and this film, rather than offering a magical, heartwarming experience, may instead introduce them to unnecessary fear. If your goal is to protect them from nightmares, then it would be wise to choose another film, one that truly embodies the spirit of wonder and adventure that fairy tales are meant to inspire. Rather than enchanting young viewers, this movie might unsettle them, leaving them with eerie images rather than joyful dreams.

One of the few redeeming qualities of the film might be the seven CGI dwarfs. In a movie that struggles in many other aspects, the visual effects team seems to have done a commendable job in bringing these characters to life. The animation and rendering of the dwarfs are well-executed, offering some of the only moments of genuine charm throughout the film. While CGI in modern films can often feel artificial or lifeless, the dwarfs in this adaptation manage to have some personality and visual appeal, providing at least a small highlight in an otherwise lackluster experience.

However, impressive CGI alone is not enough to save a film that falters in storytelling, character development, or emotional depth. While the technology used to create the dwarfs might be impressive, it does little to mask the shortcomings of the film as a whole. A movie should offer more than just visual spectacle-it should captivate, inspire, and transport its audience into a world worth believing in. Unfortunately, this adaptation fails to achieve that, leaving viewers with little more than a sense of disappointment.

In the end, if you value the magic and purity of the story you once knew, this film might not be the right choice for you. There are plenty of other adaptations and interpretations of classic fairy tales that do justice to their original magic and wonder. Instead of risking the disappointment that this movie might bring, consider revisiting the versions of the story that made you fall in love with it in the first place. Whether it's an animated classic, a beautifully written book, or even a stage adaptation, there are countless ways to experience the magic of this story without subjecting yourself to an underwhelming film.

For those who are still curious about the movie, perhaps the best approach is to manage expectations. If you go in expecting a faithful, heartfelt adaptation, you might leave feeling let down. But if you watch it with the understanding that it may take creative liberties, alter the tone, and possibly even stray far from the heart of the original, then you might be able to find small moments of enjoyment-especially in the CGI work. Just don't expect it to leave you with the same warmth and wonder that the original story once did.

Ultimately, the choice is yours, but be prepared. Whether it's protecting your childhood memories or shielding young viewers from unsettling imagery, there are valid reasons to be cautious about this film. If nothing else, at least we can acknowledge that the visual effects team put in the effort to make the seven dwarfs look good. Unfortunately, that alone may not be enough to make this movie worth watching.",1/10,want preserve cherished memories childhood strongly advise watching movie stories best left untouched remaining beautiful nostalgic moments minds however film takes beloved memories distorts something unrecognizable grew loving original tale adaptation may leave feeling disappointed disheartened even frustrated furthermore children considering taking see movie may want think twice children especially sensitive visuals film rather offering magical heartwarming experience may instead introduce unnecessary fear goal protect nightmares would wise choose another film one truly embodies spirit wonder adventure fairy tales meant inspire rather enchanting young viewers movie might unsettle leaving eerie images rather joyful dreams one redeeming qualities film might seven cgi dwarfs movie struggles many aspects visual effects team seems done commendable job bringing characters life animation rendering dwarfs offering moments genuine charm throughout film cgi modern films often feel artificial lifeless dwarfs adaptation manage personality visual appeal providing least small highlight otherwise lackluster experience however impressive cgi alone enough save film falters storytelling character development emotional depth technology used create dwarfs might impressive little mask shortcomings film whole movie offer visual captivate inspire transport audience world worth believing unfortunately adaptation fails achieve leaving viewers little sense disappointment end value magic purity story knew film might right choice plenty adaptations interpretations classic fairy tales justice original magic wonder instead risking disappointment movie might bring consider revisiting versions story made fall love first place whether animated classic beautifully written book even stage adaptation countless ways experience magic story without subjecting underwhelming film still curious movie perhaps best approach manage expectations go expecting faithful heartfelt adaptation might leave feeling let watch understanding may take creative liberties alter tone possibly even stray far heart original might able find small moments cgi work expect leave warmth wonder original story ultimately choice prepared whether protecting childhood memories shielding young viewers unsettling imagery valid reasons cautious film nothing else least acknowledge visual effects team put effort make seven dwarfs look good unfortunately alone may enough make movie worth watching,0.9976,0.297,0.105,0.598
"Disney's new live-action Snow White is a colossal disappointment that fails to recapture the timeless enchantment of its classic animated version. The film is riddled with a poorly constructed narrative that feels both forced and unimaginative, relying on stale tropes and clumsy dialogue. Characters are one-dimensional and lack any meaningful development, leaving the audience disconnected. Even the visual effects, which strive for grandeur, end up looking awkward and unconvincing. Overall, this misguided adaptation is a complete misfire that earns a dismal score of 1/10. Utterly, complete flop.",1/10,disney new snow white colossal disappointment fails recapture timeless enchantment classic animated version film riddled poorly constructed narrative feels forced unimaginative relying stale tropes clumsy dialogue characters lack meaningful development leaving audience disconnected even visual effects strive grandeur end looking awkward unconvincing overall misguided adaptation complete misfire earns dismal score utterly complete flop,-0.9182,0.082,0.284,0.634
"I saw an earlier screening and im in a complete and utter shock. I understand that pleasing a certain demographic is important these days but still could have done in a more artistic way. Everything in this movie from casting to screen play to the story is just pure cringe.

Rachel Zegler lacks charisma and has the amazing ability to change pleasant situations into cringe. Not taking into consideration her behavior before the release of this movie and simply on the merit alone she is robotic and lacks charisma and is not charming at all.

Gal Gadot though being drop dead gorgeous always lacked charisma and is an average actress at best. She has no real facial expression and almost sometimes feel like an android and made no effort to correct it during this movie.

The story is just complete orphan after the first 20 mins. The band wagon just completely falls off the track into a weird story making sure the male lead is degraded in every scene if possible. Im not sure what was the purpose here to change and maul a timeless classic like this and im sure the box failure will be unforgiving.",1/10,saw earlier screening im complete utter shock understand pleasing certain demographic important days still could done artistic way everything movie casting screen play story pure cringe rachel zegler lacks charisma amazing ability change pleasant situations cringe taking consideration behavior release movie simply merit alone robotic lacks charisma charming gal gadot though drop dead gorgeous always lacked charisma average actress best real facial expression almost sometimes feel like android made effort correct movie story complete orphan first mins band wagon completely falls track weird story making sure male lead degraded every scene possible im sure purpose change maul timeless classic like im sure box failure unforgiving,0.9756,0.309,0.13,0.56
"We live in a time with limitless possibilities as far as movies go and Disney really could have done something special here. A live action remake of one of the most iconic stories ever, and they just botched it completely. The movie was set for failure from the very beginning, the choice of the snow white actress and using cgi for the seven dwarfs just killed this movie months ago. And don't get me wrong, I'm not 1 starring just because of some ""actor"" choices, the movie itself is just rubbish, the cgi is ridiculously bad and the acting wasn't good either. A 300M movie should have been perfect.",,live time limitless possibilities far movies go disney really could done something special live action remake one iconic stories ever botched completely movie set failure beginning choice snow white actress using cgi seven dwarfs killed movie months ago get wrong starring actor choices movie rubbish cgi ridiculously bad acting good either movie perfect,-0.83,0.13,0.239,0.631
"A film created for the youngest Disney fans. Featuring a princess who awakens to take her rightful place, inherited from her parents and that finds herself and becomes a queen. This movie gives the final the Evel Witch needed from the original animated classic and also context about Snow White's family. The best: Rachel Zegler voice. The worst: Gal Gadot, her portrayal looks more like a parody. The sweetest: The 7 Dwarfs, they are just cute. The messages: Human beauty is from the inside out. Together we are more powerful. What makes us great is our generosity and empathy, not material possessions.",7/10,film created youngest disney fans featuring princess awakens take rightful place inherited parents finds becomes queen movie gives final evel witch needed original animated classic also context snow white family best rachel zegler voice worst gal gadot portrayal looks like parody sweetest dwarfs cute messages human beauty inside together powerful makes us great generosity empathy material possessions,0.9657,0.347,0.082,0.571
"Didn't like the mixture of actors and animation and the storyline wasn't good and not impressed with Rachel Zegler performance, didn't think she was trying. I thought Hal Gadot was awesome and did a fantastic job, she really impressed me.

Didn't like the dwarves and how they looked. I know that's they are just characters but they were to cartoony and their personalities were not like the biome i read as a kid. I wish they would have been more realistic and they used real actors not the cgi stuff they use all the time, very disappointing if you ask me. I wish they would have used Tim Burton.......",1/10,like mixture actors animation storyline good impressed rachel zegler performance think trying thought hal gadot awesome fantastic job really impressed like dwarves looked know characters cartoony personalities like biome read kid wish would realistic used real actors cgi stuff use time disappointing ask wish would used tim burton,0.9764,0.425,0.046,0.529
"I've always been a huge fan of Disney movies - their magic, music, and memorable characters have been a part of my life since childhood. So when I sat down to watch this film, I was genuinely excited and hopeful. Unfortunately, that excitement quickly turned into disappointment, and by the end, I was left in complete disbelief.

This was, without a doubt, the worst Disney film I have ever seen. The storyline lacked heart, the pacing was off, and the emotional core that usually defines a Disney movie was nowhere to be found. But the most shocking part of all was Gal Gadot's performance. Her acting was stiff and unconvincing, completely devoid of the warmth or depth that the character required. It was painfully clear that she was miscast, and her presence only dragged the film further down.

What makes it worse is the fact that this movie tried to build on a beloved original - and failed miserably. Instead of honoring what made the original special, it felt like a hollow imitation, filled with glossy visuals but no soul. It was not just a letdown - it was almost offensive to fans who hold the original dear.

If it were possible to give a negative rating, I wouldn't hesitate. Watching this movie felt like a waste of time, and I genuinely regret pressing play. My advice? Spare yourself the disappointment. Skip this one entirely.",1/10,always huge fan disney movies magic music memorable characters part life since childhood sat watch film genuinely excited hopeful unfortunately excitement quickly turned disappointment end left complete disbelief without doubt worst disney film ever seen storyline lacked heart pacing emotional core usually defines disney movie nowhere found shocking part gal gadot performance acting stiff unconvincing completely devoid warmth depth character required painfully clear miscast presence dragged film makes worse fact movie tried build beloved original failed miserably instead honoring made original special felt like hollow imitation filled glossy visuals soul letdown almost offensive fans hold original dear possible give negative rating would hesitate watching movie felt like waste time genuinely regret pressing play advice spare disappointment skip one entirely,0.9278,0.31,0.21,0.48
"When the Queen looks at her magic mirror it clearly is faulty and probably delivered from a cheap knock-off from the real thing.

Gal Gadot is a goddess in every sense a beautiful woman, who should have no issues getting jealous of another woman's looks.

Rachel Zegler is just average, not someone I'd crawl over broken glass with my flies open to try and bag a kiss from.

Here the fundamental flaws in the films logic are laid bare, Rachel can sing .. but that's about it.

The film after its disastrous reshoots which meant it was delayed for over a year, it manages to shoehorn in some horrendous cgi dwarves along with bandits ???. Bandits ????, now forgive me but I do not recall these being in the original. It's pretty evident that these were the original magical beings or poor substitutes for the dwarves and the film couldn't structurally exist without them due to the footage that had already been filmed.

The film follows certain beats from the original initially before deciding it wants to be something else, and the mediocre songs do not help either.

You also know there's a massive issue with the film when they've literally dropped the 'Seven Dwarfs' from the title and simply called it 'Snow White'. The holy grail of the Disney legacy is subsequently crucified in the name of a modern re-invention of the classic and believe me I am furious that Disney didn't have the respect for the original and hired an actress in the lead who has nothing but contempt for it. Rachel has made that clear from her big mouth in numerous press junkets where they let her open it.

This film is exhaustedly terrible and has no right to exist.",1/10,queen looks magic mirror clearly faulty probably delivered cheap real thing gal gadot goddess every sense beautiful woman issues getting jealous another woman looks rachel zegler average someone crawl broken glass flies open try bag kiss fundamental flaws films logic laid bare rachel sing film disastrous reshoots meant delayed year manages shoehorn horrendous cgi dwarves along bandits bandits forgive recall original pretty evident original magical beings poor substitutes dwarves film could structurally exist without due footage already filmed film follows certain beats original initially deciding wants something else mediocre songs help either also know massive issue film literally dropped dwarfs title simply called white holy grail disney legacy subsequently crucified name modern classic believe furious disney respect original hired actress lead nothing contempt rachel made clear big mouth numerous press junkets let open film exhaustedly terrible right exist,0.763,0.208,0.155,0.638
"Oh boy, Disney's Snow White-where do I even start? This movie is like a poisoned apple that looks shiny on the outside but leaves you gagging after one bite. First off, Snow White herself is so annoyingly chipper, I half-expected her to break into a sales pitch for a timeshare with those woodland critters. Speaking of which, those animals deserve an Oscar for tolerating her off-key warbling while they scrub floors-meanwhile, I'm over here wishing the Evil Queen would hurry up with the inevitable.

The dwarves? More like seven little reasons to question my life choices. Grumpy's the only one with a brain, and even he couldn't save this snooze-fest. The plot moves slower than Sleepy after a double espresso wears off, and the Prince? Dude shows up for five seconds, kisses a coma patient without consent, and we're supposed to call it romance. Disney magic? More like Disney tragic. I'd rather watch paint dry-at least it wouldn't whistle while it worked. Two stars, and that's just for the Queen's mirror, who clearly knew how to throw shade.

In short, what a Total disaster and catastrophe . I can't imagine so much money and efforts were poured into this junk. This actress, the plots and pretty much everything in the movie were terrible. I'd rather be tortured by Ryan's world on YouTube than watching this garbage.",1/10,oh boy disney snow even start movie like poisoned apple looks shiny outside leaves gagging one bite first snow white annoyingly chipper break sales pitch timeshare woodland critters speaking animals deserve oscar tolerating warbling scrub wishing evil queen would hurry inevitable dwarves like seven little reasons question life choices grumpy one brain even could save plot moves slower sleepy double espresso wears prince dude shows five seconds kisses coma patient without consent supposed call romance disney magic like disney tragic rather watch paint least would whistle worked two stars queen mirror clearly knew throw shade short total disaster catastrophe ca imagine much money efforts poured junk actress plots pretty much everything movie terrible rather tortured ryan world youtube watching garbage,-0.6207,0.163,0.176,0.661
"Well, basically-they fail on the basics.

What really caught me off guard was who ended up disappointing me the most. I went in expecting issues elsewhere, but surprisingly, it was Gal Gadot who stood out in all the wrong ways. I genuinely didn't expect her to be the weak link, but her performance felt undercooked and surprisingly rookie for someone of her experience. It lacked the depth and presence you'd hope for, especially given the iconic role she was playing.

Then there's the scenery-or rather, the lack of it. It felt lazy and uninspired, like they cut corners on the visuals that are supposed to give fairy tales their magic. The sets didn't pull you into the world; they pushed you out of it.

And don't even get me started on the costume design. It was oddly offbeat, almost like the characters were wearing outfits from a different movie entirely. The clothing lacked that timeless, fantastical charm and instead came across as cheap or hastily thrown together.

Overall, it just didn't click. It's disappointing when a classic like Snow White gets a retelling that misses the mark on all the fundamentals-acting, visuals, and atmosphere.",1/10,well fail basics really caught guard ended disappointing went expecting issues elsewhere surprisingly gal gadot stood wrong ways genuinely expect weak link performance felt undercooked surprisingly rookie someone experience lacked depth presence hope especially given iconic role playing rather lack felt lazy uninspired like cut corners visuals supposed give fairy tales magic sets pull world pushed even get started costume design oddly offbeat almost like characters wearing outfits different movie entirely clothing lacked timeless fantastical charm instead came across cheap hastily thrown together overall click disappointing classic like snow white gets retelling misses mark visuals atmosphere,-0.3182,0.193,0.196,0.611
,,,0.0,0.0,0.0,0.0
